experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.9067,0.9123,0.8246,1.4737,0.9067,0.545,1.0,1.0,0.545,0.4483,0.0967,0.0967,0.8955,0.9821,0.4447,0.49,0.5243,0.0343,,0.6654,0.49,0.4919,0.0019,39,87,0,56,39,31,0.5817,1.0,0.5596,0.4898,0.5246,0.7013,0.5153,0.4917,15,285,244,"{""main_baseline_neutral"": 0.5817}","{""main_baseline_neutral"": 56}","{""main_baseline_neutral"": 0.5246}","{""main_baseline_neutral"": 0.04}",-0.0036,,0.5867,1.0,0.5917,300,1.0,1.0,0,14,0,7,5,2,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,3,120,8,0.7583,0.8065,0.5777,1.629,0.7583,0.55,1.0,1.0,0.55,0.4467,0.1033,0.1033,0.7589,0.9138,0.4628,0.4894,0.5252,0.0358,,0.6648,0.4894,0.4918,0.0024,38,90,0,58,38,32,0.5717,1.0,0.5491,0.4897,0.5257,0.7624,0.5133,0.4931,15,285,242,"{""main_baseline_neutral"": 0.5717}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5257}","{""main_baseline_neutral"": 0.0733}",0.0161,,0.5783,1.0,0.5733,300,1.0,1.0,0,15,0,6,3,6,0,support_report_2,negative_leaning,high_consensus,8
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.9067,0.9135,0.827,1.25,0.9067,0.5483,1.0,1.0,0.5483,0.4383,0.11,0.11,0.9041,0.9818,0.451,0.49,0.5235,0.0335,,0.6683,0.49,0.491,0.001,47,89,0,55,47,34,0.5767,1.0,0.5544,0.4857,0.5234,0.718,0.5132,0.491,15,285,245,"{""main_baseline_neutral"": 0.5767}","{""main_baseline_neutral"": 55}","{""main_baseline_neutral"": 0.5234}","{""main_baseline_neutral"": 0.04}",0.0127,,0.58,1.0,0.5867,300,1.0,1.0,0,15,0,5,7,3,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,5,75,5,0.9067,0.9135,0.827,1.4706,0.9067,0.5483,1.0,1.0,0.5483,0.455,0.0933,0.0933,0.9028,0.9828,0.4442,0.4916,0.5216,0.03,,0.6535,0.4916,0.49,-0.0016,33,95,0,58,33,37,0.5783,1.0,0.5561,0.4814,0.5226,0.7015,0.5132,0.4915,15,285,242,"{""main_baseline_neutral"": 0.5783}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5226}","{""main_baseline_neutral"": 0.0333}",-0.0108,,0.5917,1.0,0.5867,300,1.0,1.0,0,15,0,11,2,2,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,6,75,5,0.8933,0.8861,0.7722,1.3158,0.8933,0.5483,1.0,1.0,0.5483,0.4367,0.1116,0.1116,0.8873,0.9732,0.4508,0.4865,0.5201,0.0336,,0.6553,0.4865,0.4891,0.0026,46,87,0,55,46,32,0.5667,1.0,0.5439,0.4734,0.5211,0.7259,0.5103,0.4892,15,285,244,"{""main_baseline_neutral"": 0.5667}","{""main_baseline_neutral"": 56}","{""main_baseline_neutral"": 0.5211}","{""main_baseline_neutral"": 0.0333}",0.0141,,0.5817,1.0,0.5867,300,1.0,1.0,0,14,0,4,3,7,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,7,75,5,0.88,0.8857,0.7714,1.1579,0.88,0.5467,0.9333,0.9333,0.5467,0.45,0.0967,0.0967,0.8676,0.9821,0.4467,0.4899,0.5212,0.0313,,0.6522,0.4899,0.4911,0.0012,42,88,0,54,42,34,0.575,0.9333,0.5561,0.4857,0.5213,0.6639,0.5138,0.4909,15,285,244,"{""main_baseline_neutral"": 0.575}","{""main_baseline_neutral"": 56}","{""main_baseline_neutral"": 0.5213}","{""main_baseline_neutral"": 0.0433}",-0.0033,,0.5883,1.0,0.5867,300,0.9333,0.8667,1,14,0,6,3,6,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,8,75,5,0.9067,0.9135,0.827,1.3684,0.9067,0.5667,1.0,1.0,0.5667,0.4583,0.1084,0.1084,0.9041,0.9911,0.4693,0.4901,0.5261,0.036,,0.6662,0.4901,0.494,0.0039,39,88,0,55,39,33,0.58,1.0,0.5579,0.4857,0.5234,0.7151,0.5133,0.4909,15,285,244,"{""main_baseline_neutral"": 0.58}","{""main_baseline_neutral"": 56}","{""main_baseline_neutral"": 0.5234}","{""main_baseline_neutral"": 0.0467}",0.011,,0.585,1.0,0.5883,300,1.0,1.0,0,14,0,8,5,1,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,9,75,5,0.88,0.8737,0.7207,1.6875,0.88,0.5467,1.0,1.0,0.5467,0.445,0.1017,0.1017,0.875,0.9746,0.4419,0.4923,0.523,0.0307,,0.6544,0.4923,0.4908,-0.0015,47,96,0,56,47,40,0.5733,1.0,0.5509,0.4772,0.5222,0.7077,0.5124,0.4912,15,285,241,"{""main_baseline_neutral"": 0.5733}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5222}","{""main_baseline_neutral"": 0.0333}",-0.0031,,0.59,1.0,0.5883,300,1.0,1.0,0,15,0,9,2,4,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,10,75,5,0.9067,0.9135,0.827,1.3333,0.9067,0.5533,1.0,1.0,0.5533,0.4467,0.1066,0.1066,0.9041,0.9825,0.4527,0.4909,0.5233,0.0324,,0.6627,0.4909,0.4906,-0.0003,40,90,0,57,40,33,0.5767,1.0,0.5544,0.4815,0.5242,0.7056,0.5147,0.4917,15,285,243,"{""main_baseline_neutral"": 0.5767}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5242}","{""main_baseline_neutral"": 0.04}",0.006,,0.5867,1.0,0.59,300,1.0,1.0,0,15,0,7,2,6,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,11,195,13,0.7077,0.8226,0.4815,0.8984,0.7077,0.5133,0.9333,0.9333,0.5133,0.4467,0.0666,0.0666,0.6964,0.7612,0.4421,0.4904,0.5254,0.035,,0.6489,0.4904,0.4899,-0.0005,34,96,0,61,34,35,0.5517,0.9333,0.5316,0.4807,0.5263,0.8484,0.5093,0.4904,15,285,233,"{""main_baseline_neutral"": 0.5517}","{""main_baseline_neutral"": 67}","{""main_baseline_neutral"": 0.5263}","{""main_baseline_neutral"": 0.08}",-0.0046,,0.5633,1.0,0.555,300,0.9,0.8,1,9,0,6,1,3,0,support_report_2,negative_leaning,high_consensus,13
