experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,9,225,15,0.5289,0.7372,0.2867,0.9932,0.5289,0.4217,0.6667,0.6667,0.4217,0.445,-0.0233,-0.0233,0.5336,0.6234,0.352,0.4923,0.5004,0.0081,,0.5783,0.4923,0.4735,-0.0188,47,135,0,67,47,68,0.4267,0.6667,0.414,0.361,0.4997,0.5899,0.4949,0.4731,15,285,223,"{""main_baseline_neutral"": 0.4267}","{""main_baseline_neutral"": 77}","{""main_baseline_neutral"": 0.4997}","{""main_baseline_neutral"": 0.06}",-0.093,,0.4917,0.8235,0.5467,300,0.6667,0.3333,5,10,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,10,90,6,0.7222,0.8095,0.5706,1.5484,0.7222,0.58,1.0,1.0,0.58,0.4467,0.1333,0.1333,0.7303,0.8729,0.5083,0.4909,0.5241,0.0332,,0.6245,0.4909,0.4995,0.0086,40,80,0,52,40,28,0.5767,1.0,0.5544,0.5021,0.5251,0.6872,0.5165,0.5005,15,285,241,"{""main_baseline_neutral"": 0.5767}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5251}","{""main_baseline_neutral"": 0.04}",0.0616,,0.5783,1.0,0.5683,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,6
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,11,225,15,0.6533,0.8255,0.3068,1.0537,0.6533,0.4867,1.0,1.0,0.4867,0.4467,0.04,0.04,0.6592,0.7697,0.3906,0.4904,0.5212,0.0308,,0.6361,0.4904,0.4823,-0.0081,34,118,0,67,34,51,0.5217,1.0,0.4965,0.4353,0.5218,0.7854,0.508,0.4826,15,285,224,"{""main_baseline_neutral"": 0.5217}","{""main_baseline_neutral"": 76}","{""main_baseline_neutral"": 0.5218}","{""main_baseline_neutral"": 0.0733}",-0.0561,,0.5533,1.0,0.5633,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,12,75,5,0.8133,0.8193,0.603,1.2,0.8133,0.59,1.0,1.0,0.59,0.4317,0.1583,0.1583,0.8133,0.9,0.5125,0.4904,0.5284,0.038,,0.6292,0.4904,0.5032,0.0128,43,82,0,52,43,30,0.5783,1.0,0.5561,0.5,0.5281,0.6961,0.5192,0.5026,15,285,240,"{""main_baseline_neutral"": 0.5783}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5281}","{""main_baseline_neutral"": 0.0333}",0.0808,,0.585,1.0,0.5817,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,13,225,15,0.7111,0.8013,0.5217,0.973,0.7111,0.6167,0.8667,0.8667,0.6167,0.4333,0.1834,0.1834,0.7175,0.8182,0.5471,0.4898,0.5564,0.0666,,0.6869,0.4898,0.5114,0.0216,50,90,0,59,50,31,0.5967,0.8667,0.5825,0.5202,0.5545,0.8112,0.541,0.5093,15,285,223,"{""main_baseline_neutral"": 0.5967}","{""main_baseline_neutral"": 77}","{""main_baseline_neutral"": 0.5545}","{""main_baseline_neutral"": 0.0967}",0.1138,,0.5883,1.0,0.5817,300,0.9286,0.8571,1,13,0,14,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,14,105,7,0.8476,0.8595,0.681,0.8974,0.8476,0.665,0.8667,0.8667,0.665,0.4417,0.2233,0.2233,0.8641,0.9318,0.5897,0.4892,0.5496,0.0604,,0.6784,0.4892,0.5132,0.024,47,107,0,59,47,48,0.6067,0.8667,0.593,0.5214,0.5478,0.7405,0.5377,0.5114,15,285,234,"{""main_baseline_neutral"": 0.6067}","{""main_baseline_neutral"": 66}","{""main_baseline_neutral"": 0.5478}","{""main_baseline_neutral"": 0.09}",0.148,,0.6,1.0,0.595,300,0.9286,0.8571,1,13,0,14,0,0,0,support_report_2,negative_leaning,high_consensus,7
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,15,225,15,0.5467,0.7634,0.2591,1.1409,0.5467,0.4367,0.8,0.8,0.4367,0.4417,-0.005,-0.005,0.5516,0.6053,0.3795,0.49,0.5062,0.0162,,0.5818,0.49,0.4805,-0.0095,49,122,0,64,49,58,0.4617,0.8,0.4439,0.4174,0.5067,0.7139,0.4957,0.4805,15,285,224,"{""main_baseline_neutral"": 0.4617}","{""main_baseline_neutral"": 76}","{""main_baseline_neutral"": 0.5067}","{""main_baseline_neutral"": 0.0633}",-0.0622,,0.5067,0.8462,0.5367,300,0.8,0.6,3,12,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,16,75,5,0.8667,0.8734,0.7201,0.5333,0.8667,0.605,0.9333,0.9333,0.605,0.4583,0.1467,0.1467,0.8667,0.9167,0.5271,0.4916,0.5353,0.0437,,0.6479,0.4916,0.5072,0.0156,35,89,0,54,35,35,0.5933,0.9333,0.5754,0.5146,0.5362,0.7011,0.5275,0.5081,15,285,240,"{""main_baseline_neutral"": 0.5933}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5362}","{""main_baseline_neutral"": 0.0633}",0.0688,,0.5883,1.0,0.585,300,0.9333,0.8667,1,14,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,17,225,15,0.5022,0.7827,0.1819,1.0544,0.5022,0.3533,0.6667,0.6667,0.3533,0.43,-0.0767,-0.0767,0.5114,0.5256,0.2928,0.4892,0.4877,-0.0015,,0.5516,0.4892,0.4653,-0.0239,50,162,0,70,50,92,0.3517,0.6667,0.3351,0.2883,0.486,0.6351,0.4782,0.4636,15,285,222,"{""main_baseline_neutral"": 0.3517}","{""main_baseline_neutral"": 78}","{""main_baseline_neutral"": 0.486}","{""main_baseline_neutral"": 0.06}",-0.1372,,0.46,0.7241,0.52,300,0.6667,0.3333,5,10,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,18,75,5,0.8133,0.8283,0.6424,1.3846,0.8133,0.585,1.0,1.0,0.585,0.4483,0.1367,0.1367,0.8243,0.8952,0.5042,0.4895,0.5266,0.0371,,0.6254,0.4895,0.5009,0.0114,37,69,0,55,37,14,0.5817,1.0,0.5596,0.5,0.5279,0.6794,0.5199,0.5023,15,285,238,"{""main_baseline_neutral"": 0.5817}","{""main_baseline_neutral"": 62}","{""main_baseline_neutral"": 0.5279}","{""main_baseline_neutral"": 0.03}",0.0559,,0.585,1.0,0.5817,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,5
