experiment_family,scenario_name,condition_name,persona_name,agent_persona_name,chat_atmosphere,repeat_index,phase,timestep,agent_id,was_ever_active,active_count,visible_hyperedge_ids,dominant_hyperedge_id,visible_negative_pressure,latent_neg_tendency,final_choice,credible_choice,share_choice,comment_choice,nsb,cb,sb,eb_probe,probe_mode,reason
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_031,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4628,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_032,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4831,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_033,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4947,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_034,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4681,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_035,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4793,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_036,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5017,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_037,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5206,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_038,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4856,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_039,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4419,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_040,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4893,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_041,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5104,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_042,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5019,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_043,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4921,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_044,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4925,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_045,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.458,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_046,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4856,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_047,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4885,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
